,venue,city,batting_team,bowling_team,runs_last_5,wickets_last_5,wickets,runs,overs,total
32,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,59,0,0,61,5.1,222
33,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,59,1,1,61,5.2,222
34,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,59,1,1,61,5.3,222
35,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,59,1,1,61,5.4,222
36,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,58,1,1,61,5.5,222
37,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,58,1,1,61,5.6,222
38,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,55,1,1,62,6.1,222
39,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,52,1,1,63,6.2,222
40,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,47,1,1,64,6.3,222
41,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,45,1,1,66,6.4,222
42,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,46,1,1,67,6.5,222
43,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,47,1,1,68,6.6,222
44,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,47,1,1,68,7.1,222
45,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,47,1,1,69,7.2,222
46,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,44,1,1,70,7.3,222
47,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,44,1,1,71,7.4,222
48,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,45,1,1,72,7.5,222
49,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,41,1,1,73,7.6,222
50,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,35,1,1,73,8.1,222
51,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,34,1,1,73,8.2,222
52,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,30,1,1,73,8.3,222
53,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,31,1,1,74,8.4,222
54,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,31,1,1,75,8.5,222
55,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,27,1,1,77,8.6,222
56,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,24,1,1,78,9.1,222
57,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,24,1,1,79,9.2,222
58,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,21,1,1,80,9.3,222
59,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,21,1,1,80,9.4,222
60,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,26,1,1,86,9.5,222
61,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,27,1,1,87,9.6,222
62,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,27,1,1,88,10.1,222
63,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,31,0,1,92,10.2,222
64,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,31,0,1,92,10.3,222
65,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,37,0,1,98,10.4,222
66,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,37,0,1,98,10.5,222
67,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,41,0,1,102,10.6,222
68,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,40,0,1,102,11.1,222
69,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,45,0,1,108,11.2,222
70,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,46,0,1,110,11.3,222
71,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,SRH,RCB,45,0,1,111,11.4,222
